	ID	IDC	MT_TOT	PMG	RECENCE
254	254	1183	2039.5	3. M	0
255	255	1185	277.0	4. P	0
256	256	1186	3186.5	3. M	1
257	257	1187	788.0	4. P	1
258	258	1188	13.0	4. P	13
259	259	1189	81.0	4. P	17
260	260	1190	250.0	4. P	1
261	261	1191	75.0	4. P	6
262	262	1193	492.0	4. P	6
263	263	1194	59453.0	1. TG	0
264	264	1202	1166.0	4. P	0
265	265	1203	19644.5	2. G	0
266	266	1204	4131.5	3. M	0
267	267	1206	5079.0	3. M	0
268	268	1207	12439.0	2. G	0
269	269	1208	39527.0	2. G	0
270	270	1209	335.25	4. P	16
271	271	1210	7118.75	3. M	13
272	272	1216	170.0	4. P	6
273	273	1217	1217.5	4. P	0
274	274	1226	328.5	4. P	5
275	275	1227	61.0	4. P	7
276	276	1230	634.0	4. P	0
277	277	1237	4930.5	3. M	0
278	278	1238	6011.0	3. M	7
279	279	1239	8785.5	3. M	0
280	280	1248	24740.0	2. G	0
281	281	1249	4428.0	3. M	0
282	282	1251	125.0	4. P	0
283	283	1256	100.0	4. P	16
284	284	1258	103.0	4. P	16
285	285	1259	224.0	4. P	0
286	286	1263	224.0	4. P	0
287	287	1266	6009.65	3. M	0
288	288	1267	4381.0	3. M	0
289	289	1268	2042.5	3. M	2
290	290	1271	1057.0	4. P	3
291	291	1272	10363.5	3. M	0
292	292	1274	412.0	4. P	0
293	293	1279	86.5	4. P	8
294	294	1281	16727.5	2. G	1
295	295	1282	439.5	4. P	12
296	296	1283	596.5	4. P	0
297	297	1287	399.0	4. P	15
298	298	1290	55.0	4. P	16
299	299	1299	250.5	4. P	0
300	300	1300	119.0	4. P	16
301	301	1302	387.0	4. P	0
302	302	1303	775.5	4. P	2
303	303	1304	167.0	4. P	8
304	304	1305	16.0	4. P	16
305	305	1308	24.0	4. P	16
306	306	1311	31.6	4. P	16
307	307	1312	2685.0	3. M	0
308	308	1314	3065.35	3. M	1
309	309	1315	22722.5	2. G	0
310	310	1316	6518.5	3. M	0
311	311	1317	2399.5	3. M	0
312	312	1318	645.5	4. P	15
313	313	1320	38.0	4. P	13
314	314	1321	1265.5	4. P	1
315	315	1323	162.5	4. P	0
316	316	1325	40.0	4. P	4
317	317	1326	187.5	4. P	12
318	318	1328	2816.0	3. M	3
319	319	1329	855.5	4. P	0
320	320	1331	8.5	4. P	15
321	321	1336	1191.0	4. P	0
322	322	1338	4060.0	3. M	0
323	323	1339	11518.5	2. G	0
324	324	1342	239.0	4. P	1
325	325	1347	724.0	4. P	13
326	326	1348	75698.5	1. TG	0
327	327	1349	1212.5	4. P	0
328	328	1350	3.0	4. P	2
329	329	1352	6446.5	3. M	3
330	330	1355	171.0	4. P	0
331	331	1356	609.5	4. P	0
332	332	1359	3835.0	3. M	9
333	333	1361	1735.5	3. M	0
334	334	1362	1794.0	3. M	15
335	335	1364	21560.5	2. G	5
336	336	1365	33.0	4. P	0
337	337	1366	9.5	4. P	14
338	338	1367	324.4	4. P	14
339	339	1369	5705.15	3. M	0
340	340	1370	185.0	4. P	15
341	341	1371	104.0	4. P	10
342	342	1372	1052.0	4. P	0
343	343	1374	638.0	4. P	0
344	344	1375	11.5	4. P	9
345	345	1376	30.0	4. P	9
346	346	1377	2840.5	3. M	4
347	347	1378	97.0	4. P	15
348	348	1379	238.5	4. P	14
349	349	1380	122.5	4. P	0
350	350	1381	44.0	4. P	15
351	351	1382	15.0	4. P	15
352	352	1385	2086.5	3. M	1
353	353	1386	120.0	4. P	2
354	354	1393	78.0	4. P	15
355	355	1394	5770.5	3. M	2
356	356	1396	661.5	4. P	7
357	357	1398	101.5	4. P	14
358	358	1399	20.5	4. P	15
359	359	1400	7.0	4. P	14
360	360	1401	264316.5	1. TG	0
361	361	1402	25.0	4. P	13
362	362	1404	8957.7	3. M	0
363	363	1406	2.0	4. P	15
364	364	1408	4588.0	3. M	0
365	365	1409	67.0	4. P	1
366	366	1410	5713.5	3. M	0
367	367	1414	199.0	4. P	10
368	368	1416	312.0	4. P	9
369	369	1420	39.0	4. P	11
370	370	1422	315.5	4. P	1
371	371	1423	68.5	4. P	14
372	372	1425	396.2	4. P	5
373	373	1428	33.0	4. P	14
374	374	1429	33.0	4. P	14
375	375	1432	8508.5	3. M	1
376	376	1434	2345.0	3. M	0
377	377	1435	19762.0	2. G	5
378	378	1436	322.0	4. P	0
379	379	1438	5945.5	3. M	0
380	380	1439	13.0	4. P	14
381	381	1441	1180.5	4. P	0
382	382	1442	3674.5	3. M	0
383	383	1448	1152.5	4. P	6
384	384	1449	98959.5	1. TG	0
385	385	1450	7093.0	3. M	0
386	386	1451	375.0	4. P	8
387	387	1456	50.0	4. P	14
388	388	1459	1173.5	4. P	12
389	389	1461	62.0	4. P	1
390	390	1462	2339.5	3. M	2
391	391	1466	80.0	4. P	11
392	392	1468	6095.0	3. M	0
393	393	1469	11579.5	2. G	0
394	394	1471	13209.5	2. G	0
395	395	1472	31.5	4. P	13
396	396	1473	1371.0	4. P	0
397	397	1475	18.0	4. P	13
398	398	1477	979.0	4. P	3
399	399	1478	1073.0	4. P	0
400	400	1483	1111.5	4. P	10
401	401	1486	1249.0	4. P	1
402	402	1487	1678.5	3. M	9
403	403	1494	29.5	4. P	9
404	404	1495	4387.5	3. M	0
405	405	1496	41.5	4. P	13
406	406	1497	2353.6	3. M	0
407	407	1498	6316.5	3. M	0
408	408	1499	3680.4	3. M	0
409	409	1502	212.5	4. P	0
410	410	1507	1469.5	4. P	0
411	411	1510	1263.6	4. P	0
412	412	1511	147.0	4. P	13
413	413	1512	1042.0	4. P	0
414	414	1522	1430.0	4. P	0
415	415	1530	393.7	4. P	9
416	416	1533	17.5	4. P	12
417	417	1534	580.5	4. P	1
418	418	1535	6645.0	3. M	0
419	419	1536	10967.5	2. G	0
420	420	1538	540.1	4. P	1
421	421	1539	487.5	4. P	12
422	422	1543	16948.5	2. G	8
423	423	1544	2272.5	3. M	0
424	424	1548	850.0	4. P	8
425	425	1549	193.0	4. P	1
426	426	1550	159245.0	1. TG	9
427	427	1551	999.0	4. P	8
428	428	1552	188.5	4. P	12
429	429	1553	4196.5	3. M	0
430	430	1554	60.0	4. P	7
431	431	1555	20.0	4. P	0
432	432	1556	6451.5	3. M	0
433	433	1557	3251.0	3. M	9
434	434	1558	127.5	4. P	11
435	435	1559	77.5	4. P	12
436	436	1566	2725.0	3. M	0
437	437	1567	3304.5	3. M	2
438	438	1569	15428.0	2. G	0
439	439	1571	10.5	4. P	9
440	440	1573	614.0	4. P	8
441	441	1574	696.0	4. P	0
442	442	1577	193.5	4. P	12
443	443	1578	1289655.0	1. TG	0
444	444	1584	52693.0	1. TG	0
445	445	1585	2341.5	3. M	1
446	446	1588	51.5	4. P	6
447	447	1589	29731.0	2. G	8
448	448	1600	2072.75	3. M	0
449	449	1601	90.0	4. P	8
450	450	1602	1377.0	4. P	0
451	451	1604	20.0	4. P	0
452	452	1606	123.0	4. P	1
453	453	1608	58.5	4. P	11
454	454	1612	5437.0	3. M	0
455	455	1614	411.5	4. P	1
456	456	1615	131908.0	1. TG	0
457	457	1616	7638.0	3. M	0
458	458	1618	514.6	4. P	0
459	459	1619	707.5	4. P	6
460	460	1621	590.0	4. P	11
461	461	1623	51.5	4. P	11
462	462	1625	720.5	4. P	2
463	463	1627	877.5	4. P	0
464	464	1628	74.0	4. P	11
465	465	1630	914.5	4. P	0
466	466	1631	53.5	4. P	10
467	467	1632	14.0	4. P	11
468	468	1634	37.0	4. P	8
469	469	1636	1137.0	4. P	0
470	470	1637	4.5	4. P	11
471	471	1639	850.5	4. P	0
472	472	1641	203.5	4. P	0
473	473	1642	559.5	4. P	10
474	474	1643	1270.0	4. P	0
475	475	1645	217.0	4. P	8
476	476	1646	63.5	4. P	6
477	477	1648	3200.5	3. M	0
478	478	1650	49.0	4. P	11
479	479	1651	177.0	4. P	3
480	480	1652	710.0	4. P	0
481	481	1653	19795.0	2. G	0
482	482	1654	70.0	4. P	3
483	483	1655	41.0	4. P	10
484	484	1656	24.0	4. P	8
485	485	1657	29.0	4. P	9
486	486	1659	790.5	4. P	7
487	487	1660	13.0	4. P	8
488	488	1661	42.0	4. P	4
489	489	1663	5579.5	3. M	0
490	490	1664	1066.0	4. P	8
491	491	1666	1364.0	4. P	10
492	492	1667	1011.0	4. P	11
493	493	1668	183.0	4. P	8
494	494	1669	23.0	4. P	11
495	495	1671	385.5	4. P	0
496	496	1672	2270.0	3. M	0
497	497	1673	10077.0	3. M	0
498	498	1674	403.0	4. P	9
499	499	1676	165.0	4. P	10
500	500	1678	4.0	4. P	5
501	501	1679	72.5	4. P	8
502	502	1680	375.0	4. P	11
503	503	1682	286.4	4. P	0
504	504	1683	8068.5	3. M	0
505	505	1684	11.0	4. P	11
506	506	1685	4142.5	3. M	0
507	507	1687	13.0	4. P	11
508	508	1688	1390.0	4. P	2
509	509	1689	141.0	4. P	0
510	510	1690	742.0	4. P	7
511	511	1692	825.5	4. P	4
512	512	1694	2223.5	3. M	6
513	513	1695	1789.0	3. M	0
514	514	1696	259.0	4. P	3
515	515	1697	51.0	4. P	11
516	516	1698	617.0	4. P	1
517	517	1700	25.0	4. P	11
518	518	1701	113.0	4. P	11
519	519	1702	12284.5	2. G	0
520	520	1703	10.0	4. P	11
521	521	1705	10.0	4. P	11
522	522	1706	2080.5	3. M	5
523	523	1707	315.0	4. P	5
524	524	1708	360.0	4. P	0
525	525	1709	732.0	4. P	6
526	526	1710	758.5	4. P	3
527	527	1711	55.0	4. P	7
528	528	1712	268.5	4. P	1
529	529	1713	10.0	4. P	10
530	530	1715	339.0	4. P	9
531	531	1717	29.5	4. P	11
532	532	1719	736.0	4. P	0
533	533	1720	3239.0	3. M	9
534	534	1722	417.0	4. P	7
535	535	1723	657.0	4. P	3
536	536	1724	10.0	4. P	11
537	537	1725	29.0	4. P	11
538	538	1726	149.5	4. P	10
539	539	1727	122.0	4. P	10
540	540	1728	45.5	4. P	11
541	541	1729	1804.6	3. M	8
542	542	1730	2363.0	3. M	6
543	543	1732	8107.6	3. M	0
544	544	1733	7.5	4. P	9
545	545	1734	10.0	4. P	11
546	546	1735	7480.05	3. M	0
547	547	1736	225.5	4. P	10
548	548	1737	18.0	4. P	11
549	549	1738	34631.0	2. G	0
550	550	1739	6969.0	3. M	0
551	551	1741	9589.5	3. M	0
552	552	1742	36.5	4. P	11
553	553	1743	40.5	4. P	9
554	554	1744	97.5	4. P	10
555	555	1745	794.5	4. P	1
556	556	1746	8.0	4. P	10
557	557	1747	86.0	4. P	10
558	558	1749	673.0	4. P	1
559	559	1750	21855.5	2. G	0
560	560	1752	844.5	4. P	0
561	561	1753	235.5	4. P	9
562	562	1754	41.5	4. P	10
563	563	1755	2.0	4. P	10
564	564	1757	55.0	4. P	9
565	565	1758	284.0	4. P	7
566	566	1759	7.5	4. P	10
567	567	1760	1006.5	4. P	0
568	568	1762	62.0	4. P	9
569	569	1763	10.5	4. P	10
570	570	1764	6231.5	3. M	0
571	571	1765	478.0	4. P	0
572	572	1766	214.1	4. P	9
573	573	1768	233.5	4. P	8
574	574	1769	60.0	4. P	10
575	575	1770	548.5	4. P	10
576	576	1771	423.0	4. P	1
577	577	1772	87.0	4. P	10
578	578	1773	1969.0	3. M	10
579	579	1775	14.0	4. P	10
580	580	1776	24.0	4. P	10
581	581	1777	8.5	4. P	10
582	582	1778	26.0	4. P	10
583	583	1779	10.0	4. P	10
584	584	1780	10.0	4. P	10
585	585	1781	4.5	4. P	10
586	586	1782	3435.5	3. M	0
587	587	1783	47170.5	2. G	7
588	588	1784	29433.5	2. G	0
589	589	1786	770.0	4. P	2
590	590	1787	3913.5	3. M	0
591	591	1788	70.5	4. P	7
592	592	1789	24205.5	2. G	2
593	593	1790	90.0	4. P	8
594	594	1791	9902.5	3. M	0
595	595	1793	52.5	4. P	10
596	596	1795	714.0	4. P	0
597	597	1796	42.0	4. P	10
598	598	1797	10.0	4. P	10
599	599	1798	9276.45	3. M	0
600	600	1799	13.0	4. P	10
601	601	1800	437.0	4. P	0
602	602	1801	903.5	4. P	9
603	603	1802	758.0	4. P	0
604	604	1803	10.0	4. P	10
605	605	1804	568.0	4. P	3
606	606	1805	1156.5	4. P	0
607	607	1806	60.5	4. P	10
608	608	1807	178.5	4. P	8
609	609	1810	10.0	4. P	10
610	610	1811	173.0	4. P	4
611	611	1812	9511.5	3. M	2
612	612	1815	10.0	4. P	10
613	613	1816	58.0	4. P	0
614	614	1817	618.5	4. P	8
615	615	1818	2283.5	3. M	0
616	616	1821	35.0	4. P	9
617	617	1823	813.5	4. P	4
618	618	1824	3943.5	3. M	2
619	619	1825	19.0	4. P	10
620	620	1826	704.0	4. P	0
621	621	1827	3647.5	3. M	9
622	622	1828	40.5	4. P	10
623	623	1830	17.0	4. P	10
