ID,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,"('KEY2', 'KEY2MAX')","('KEY2', 'KEY2MIN')",2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PMG,PMG2,REC,RECENCE
475,475,1645,217.0,92,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,10.0,115.0,70.0,22.0,,,,,,,,,106.0,100.0,,3.0,,,,1.0,,6.0,1.0,,,,,4. P,4,2,8
476,476,1646,63.5,91,2014-05-01,2013-12-01,24173,24168,,,,,,,,,,,22.0,13.0,23.5,,,5.0,,,,,,,1.0,27.5,2.5,4.5,0.5,,3.5,,3.0,,,,21.0,,,4. P,4,2,6
477,477,1648,3200.5,2793,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,243.5,593.0,311.0,348.0,377.5,281.5,89.5,171.5,212.5,217.5,207.0,148.0,452.0,1551.0,152.0,540.5,110.0,54.5,1.0,22.0,18.0,,114.5,100.5,5.5,1.0,78.0,3. M,3,4,0
478,478,1650,49.0,23,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,49.0,,,,,,,,,,,,24.0,25.0,,,,,,,,,,,,,,4. P,4,2,11
479,479,1651,177.0,108,2014-08-01,2013-12-01,24176,24168,,,,,,,,,,,17.0,,10.0,,28.0,,,78.0,44.0,,,,122.5,28.0,0.5,,2.5,,,17.5,0.5,,0.5,5.0,,,,4. P,4,3,3
480,480,1652,710.0,118,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,100.0,140.0,67.0,105.0,87.0,30.0,20.0,24.0,65.0,25.0,25.0,22.0,279.0,364.0,19.0,32.0,,,,,,2.0,14.0,,,,,4. P,4,4,0
481,481,1653,19795.0,507,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,1050.0,2740.0,2081.0,1926.0,90.0,1800.0,2472.0,279.0,350.0,930.0,4130.0,1947.0,7767.0,3778.0,3632.0,1836.0,436.0,45.0,,154.0,60.0,,,2087.0,,,,2. G,2,4,0
482,482,1654,70.0,21,2014-08-01,2013-12-01,24176,24168,,,,,,,,,,,12.0,,31.0,9.0,,9.0,,3.0,6.0,,,,10.0,,,4.0,3.0,41.0,,,,,,12.0,,,,4. P,4,3,3
483,483,1655,41.0,10,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,25.0,16.0,,,,,,,,,,,8.0,33.0,,,,,,,,,,,,,,4. P,4,2,10
484,484,1656,24.0,13,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,11.0,,,13.0,,,,,,,,,7.5,16.5,,,,,,,,,,,,,,4. P,4,2,8
485,485,1657,29.0,15,2014-02-01,2013-12-01,24170,24168,,,,,,,,,,,23.0,,6.0,,,,,,,,,,2.0,27.0,,,,,,,,,,,,,,4. P,4,2,9
486,486,1659,790.5,626,2014-04-01,2013-12-01,24172,24168,,,,,,,,,,,250.0,45.5,32.0,61.0,402.0,,,,,,,,283.5,491.0,,0.5,,7.0,,,1.0,,2.0,3.0,2.5,,,4. P,4,2,7
487,487,1660,13.0,6,2014-03-01,2014-02-01,24171,24170,,,,,,,,,,,,,10.0,3.0,,,,,,,,,3.0,10.0,,,,,,,,,,,,,,4. P,4,2,8
488,488,1661,42.0,23,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,,42.0,,,,,15.0,27.0,,,,,,,,,,,,,,4. P,4,3,4
489,489,1663,5579.5,185,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,1347.0,200.0,1986.0,205.0,,1369.0,78.0,,,0.5,60.0,334.0,4765.0,814.0,,,,,,,,,,0.5,,,,3. M,3,4,0
490,490,1664,1066.0,311,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,258.0,,780.0,28.0,,,,,,,,,468.0,296.0,3.0,4.0,8.0,,,27.5,,,,259.5,,,,4. P,4,2,8
491,491,1666,1364.0,196,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,988.0,376.0,,,,,,,,,,,101.0,92.5,4.5,3.0,458.0,,7.5,107.0,313.0,37.5,169.5,,21.5,,49.0,4. P,4,2,10
492,492,1667,1011.0,20,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,1011.0,,,,,,,,,,,,226.0,705.0,,,,60.0,,,,,,20.0,,,,4. P,4,2,11
493,493,1668,183.0,106,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,48.0,94.0,21.0,20.0,,,,,,,,,46.0,78.0,3.0,3.0,,1.0,,26.0,,16.0,,10.0,,,,4. P,4,2,8
494,494,1669,23.0,25,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,23.0,,,,,,,,,,,,0.5,0.5,9.5,6.5,2.0,,,,,,,4.0,,,,4. P,4,2,11
495,495,1671,385.5,633,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,50.5,42.0,41.0,36.0,25.0,20.0,10.0,5.0,20.0,15.0,65.0,56.0,9.0,,,,,,,,368.5,8.0,,,,,,4. P,4,4,0
