,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1212,1212,2496,10.0,3,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,1.0,6.0,,3.0,4. P,4,2,7,10.0,10.0
1213,1213,2498,5.5,8,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,3.0,,2.5,,4. P,4,2,7,5.5,5.5
1214,1214,2499,1051.0,205,2014-05-01,2014-04-01,24173,24172,,,,,,,,,,,,,,,,462.0,589.0,,,,,,,2.0,,,1042.0,1.5,3.0,2.5,4. P,4,2,6,1051.0,462.0
1215,1215,2500,62.0,29,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,52.0,9.5,0.5,,4. P,4,2,7,62.0,62.0
1216,1216,2503,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,4. P,4,2,7,10.0,10.0
1217,1217,2504,108.0,10,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,47.0,2.0,59.0,,4. P,4,2,7,108.0,108.0
1218,1218,2505,18.0,3,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,10.0,8.0,,4. P,4,2,7,18.0,18.0
1219,1219,2507,173.5,44,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,173.5,,,,,,,,,,,89.0,2.0,26.0,56.5,4. P,4,2,7,173.5,173.5
1220,1220,2508,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,4. P,4,2,7,10.0,10.0
1221,1221,2509,54.0,27,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,54.0,,,,4. P,4,2,7,54.0,54.0
1222,1222,2510,1845.0,175,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,85.5,996.0,531.5,117.0,,,66.0,49.0,,,,89.0,,1756.0,,3. M,3,4,0,1613.0,154.5
1223,1223,2512,63.5,39,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,34.5,29.0,,,4. P,4,2,7,63.5,63.5
1224,1224,2514,32.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,32.0,,,,4. P,4,2,7,32.0,32.0
1225,1225,2515,23.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,23.0,,,,4. P,4,2,7,23.0,23.0
1226,1226,2520,870.5,457,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,176.0,181.5,88.5,114.5,101.5,99.5,82.0,27.0,,,,95.0,320.0,453.0,2.5,4. P,4,4,0,470.0,229.5
1227,1227,2521,15.5,17,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,14.0,1.0,0.5,,4. P,4,2,7,15.5,15.5
1228,1228,2522,29.0,54,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,25.0,0.5,2.0,1.5,4. P,4,2,7,29.0,29.0
1229,1229,2523,52.5,36,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,52.5,,,,,,,,,,,42.0,6.5,2.5,1.5,4. P,4,2,7,52.5,52.5
1230,1230,2526,162.5,28,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,68.5,74.0,,,,,,20.0,,,,82.5,55.0,25.0,,4. P,4,4,0,142.5,142.5
1231,1231,2527,42.5,6,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,40.5,2.0,,4. P,4,2,7,42.5,42.5
1232,1232,2528,5945.0,2449,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,977.5,2020.0,413.0,586.0,108.5,92.0,909.0,839.0,,,,1609.0,2571.0,1146.0,619.0,3. M,3,4,0,3472.0,1815.5
1233,1233,2531,10.0,20,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,10.0,,4. P,4,2,7,10.0,10.0
1234,1234,2533,10.0,3,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,10.0,4. P,4,2,7,10.0,10.0
