,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
385,385,1398,102.2,79,2013-09-01,2013-08-01,24165,24164,,,,,,,,23.0,79.2,,,,,,,,,,,,,,,0.7,,,44.0,57.0,0.5,,4. P,4,1,14,102.2,102.2
386,386,1399,20.5,19,2013-08-01,2013-08-01,24164,24164,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,20.5,,,,4. P,4,1,15,20.5,20.5
387,387,1400,145.0,51,2013-10-01,2013-08-01,24166,24164,,,,,,,,92.5,49.5,3.0,,,,,,,,,,,,,,135.0,3.0,,7.0,,,,4. P,4,1,13,145.0,129.0
388,388,1401,265366.5,4695,2014-11-01,2013-08-01,24179,24164,,,,,,,,5639.0,13817.0,5268.0,14985.5,14527.0,31227.0,26844.5,23172.5,25848.5,30048.0,11127.0,13086.0,19073.5,15165.0,8649.0,6889.0,1050.0,,,260910.0,2535.5,797.0,74.0,1. TG,1,4,0,33825.5,17443.0
389,389,1402,25.0,8,2013-10-01,2013-10-01,24166,24166,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,25.0,,,,4. P,4,1,13,25.0,25.0
390,390,1404,8997.7,2483,2014-11-01,2013-08-01,24179,24164,,,,,,,,262.5,1645.25,1992.25,1449.0,1443.0,315.5,738.7,118.5,20.0,122.5,23.0,339.5,,20.0,275.0,233.0,40.0,,,7217.5,54.5,1553.0,132.7,3. M,3,4,0,4882.0,1126.0
391,391,1406,25.0,11,2013-08-01,2013-08-01,24164,24164,,,,,,,,25.0,,,,,,,,,,,,,,,,21.0,2.0,,2.0,,,,4. P,4,1,15,25.0,25.0
392,392,1408,4593.5,6460,2014-11-01,2013-09-01,24179,24165,,,,,,,,,142.5,518.5,472.0,313.0,321.0,184.0,136.5,463.5,364.0,325.5,359.0,255.5,259.5,291.0,188.0,,5.5,,,154.5,4418.5,15.0,3. M,3,4,0,1367.0,422.5
393,393,1409,67.0,39,2014-10-01,2013-09-01,24178,24165,,,,,,,,,28.0,11.0,,,,,,,0.5,,,8.5,,19.0,,,,,61.5,2.0,3.5,,4. P,4,4,1,39.0,28.0
394,394,1410,5724.5,3766,2014-11-01,2013-08-01,24179,24164,,,,,,,,33.5,584.0,232.5,210.5,592.5,135.0,109.5,239.0,583.0,383.0,394.5,508.0,410.0,133.5,445.5,730.5,6.5,4.5,,3028.0,2320.5,312.0,53.0,3. M,3,4,0,896.5,575.5
395,395,1414,199.0,8,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,,180.0,19.0,,,,,,,,,,,,,,34.0,,,165.0,4. P,4,2,10,199.0,196.0
396,396,1416,580.5,537,2014-02-01,2013-08-01,24170,24164,,,,,,,,31.5,194.0,149.5,54.5,48.5,85.5,17.0,,,,,,,,,,67.0,191.0,10.5,175.0,50.5,86.5,,4. P,4,2,9,425.5,218.0
397,397,1420,39.0,16,2013-12-01,2013-09-01,24168,24165,,,,,,,,,33.0,,,6.0,,,,,,,,,,,,,,,,30.0,6.0,3.0,4. P,4,2,11,33.0,33.0
398,398,1422,315.5,519,2014-10-01,2013-09-01,24178,24165,,,,,,,,,52.0,,,,175.5,,,27.5,32.5,,,,,28.0,,,,,,32.0,7.0,276.5,4. P,4,4,1,52.0,52.0
399,399,1423,68.5,67,2013-09-01,2013-09-01,24165,24165,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,15.0,31.0,21.5,1.0,4. P,4,1,14,68.5,68.5
400,400,1425,408.7,245,2014-06-01,2013-10-01,24174,24166,,,,,,,,,,9.5,172.0,,,,44.6,135.6,,47.0,,,,,,3.5,9.0,,70.5,60.0,208.5,57.2,4. P,4,3,5,181.5,94.0
401,401,1428,33.0,22,2013-09-01,2013-09-01,24165,24165,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,11.0,15.0,7.0,,4. P,4,1,14,33.0,33.0
402,402,1429,33.0,7,2013-09-01,2013-09-01,24165,24165,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,33.0,,,4. P,4,1,14,33.0,33.0
403,403,1432,8508.5,1331,2014-10-01,2013-09-01,24178,24165,,,,,,,,,527.0,358.5,463.5,1178.5,189.0,2791.5,1141.5,923.0,74.0,62.5,335.5,94.0,340.0,30.0,,,,,8192.5,289.0,23.0,4.0,3. M,3,4,1,1576.5,563.5
404,404,1434,2345.0,840,2014-11-01,2013-09-01,24179,24165,,,,,,,,,66.0,338.0,240.0,234.0,226.0,204.0,119.0,72.0,244.0,216.0,127.0,68.0,105.0,38.0,48.0,,,,1695.0,498.0,152.0,,3. M,3,4,0,768.0,326.0
405,405,1435,19862.0,643,2014-06-01,2013-09-01,24174,24165,,,,,,,,,2213.0,7727.5,2614.0,765.0,2111.5,1466.5,1877.0,311.5,376.0,400.0,,,,,,100.0,,,17073.0,2679.0,10.0,,2. G,2,3,5,12654.5,5611.0
406,406,1436,489.5,458,2014-11-01,2013-09-01,24179,24165,,,,,,,,,42.5,116.5,184.5,77.5,,,5.0,9.0,9.0,7.0,,,,,38.5,167.0,0.5,,212.0,109.0,1.0,,4. P,4,4,0,403.0,74.5
407,407,1438,6326.5,1975,2014-11-01,2013-09-01,24179,24165,,,,,,,,,625.0,661.5,342.0,952.0,497.5,416.0,293.0,257.0,423.5,161.5,194.0,273.0,375.0,494.5,361.0,265.0,114.5,1.5,2427.0,1039.0,2301.5,178.0,3. M,3,4,0,2425.5,1052.0
408,408,1439,15.0,6,2013-09-01,2013-09-01,24165,24165,,,,,,,,,15.0,,,,,,,,,,,,,,,,2.0,,,11.0,,2.0,4. P,4,1,14,15.0,15.0
409,409,1441,1180.5,1337,2014-11-01,2013-09-01,24179,24165,,,,,,,,,35.0,20.5,,,,,,,,129.0,397.5,238.5,218.5,82.5,59.0,,,,,5.0,1175.5,,4. P,4,4,0,55.5,39.5
410,410,1442,3950.0,454,2014-11-01,2013-09-01,24179,24165,,,,,,,,,150.0,270.5,95.5,290.0,200.0,710.5,415.0,70.0,220.0,344.0,390.0,404.0,114.5,130.0,146.0,260.0,15.5,,2230.0,761.0,661.5,22.0,3. M,3,4,0,696.0,290.5
411,411,1448,1152.5,263,2014-05-01,2013-09-01,24173,24165,,,,,,,,,28.0,169.5,246.0,120.5,96.0,92.5,58.5,122.0,219.5,,,,,,,,,,1148.5,2.5,1.5,,4. P,4,2,6,520.0,187.0
412,412,1449,99685.0,10006,2014-11-01,2013-09-01,24179,24165,,,,,,,,,239.5,5565.0,10107.5,12142.5,6370.0,9159.5,7185.0,9195.0,6233.0,6241.0,4448.0,4454.0,7875.5,7897.0,2572.5,497.0,228.5,,56704.0,7916.5,34231.5,107.5,1. TG,1,4,0,22665.5,3517.5
413,413,1450,7118.0,824,2014-11-01,2013-09-01,24179,24165,,,,,,,,,327.5,21.5,337.5,1017.5,1383.5,346.0,769.5,292.0,,502.0,1176.0,11.0,,265.0,669.0,20.0,5.0,,6381.5,680.0,31.5,,3. M,3,4,0,969.5,327.5
414,414,1451,375.0,282,2014-03-01,2013-09-01,24171,24165,,,,,,,,,22.5,149.0,,71.0,101.5,23.0,8.0,,,,,,,,,,,,375.0,,,,4. P,4,2,8,232.0,138.5
415,415,1456,50.0,1,2013-09-01,2013-09-01,24165,24165,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,50.0,,,,4. P,4,1,14,50.0,50.0
416,416,1459,1198.5,200,2013-11-01,2013-09-01,24167,24165,,,,,,,,,157.5,669.0,372.0,,,,,,,,,,,,,25.0,,,1045.0,118.0,10.5,,4. P,4,1,12,1198.5,689.0
417,417,1461,62.0,17,2014-10-01,2014-10-01,24178,24178,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,29.0,28.0,5.0,,4. P,4,4,1,62.0,62.0
418,418,1462,2356.0,399,2014-09-01,2013-09-01,24177,24165,,,,,,,,,30.5,,,,,,,566.0,461.5,79.5,1051.0,,167.5,,,,16.5,,5.0,1355.0,917.5,62.0,3. M,3,3,2,30.5,30.5
419,419,1466,80.0,146,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,72.5,7.5,4. P,4,2,11,80.0,80.0
420,420,1468,6145.0,155,2014-11-01,2013-09-01,24179,24165,,,,,,,,,120.0,650.0,596.5,180.0,225.0,150.0,220.0,442.0,821.0,400.0,140.0,820.0,550.0,730.5,100.0,50.0,,,6041.0,54.0,,,3. M,3,4,0,1546.5,770.0
421,421,1469,11579.5,1545,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,422.0,220.5,229.0,56.0,401.0,636.5,99.0,3673.5,3485.5,719.5,760.0,278.5,423.5,175.0,,,,9959.0,881.5,563.5,175.5,2. G,2,4,0,927.5,606.5
422,422,1471,13364.0,6277,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,1662.5,1385.0,1253.5,842.0,1264.5,1234.5,879.5,927.5,1020.0,1043.5,814.0,445.5,378.5,213.5,58.0,96.5,,5560.0,5763.0,1599.0,287.5,2. G,2,4,0,4301.0,1708.0
423,423,1472,31.5,27,2013-10-01,2013-10-01,24166,24166,,,,,,,,,,31.5,,,,,,,,,,,,,,,,,13.0,14.5,4.0,,4. P,4,1,13,31.5,31.5
424,424,1473,1371.0,137,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,115.0,,155.0,403.5,16.5,297.5,,53.5,,28.0,22.0,61.0,141.0,78.0,,,,12.5,,1114.0,244.5,4. P,4,4,0,301.0,115.0
425,425,1475,18.0,14,2013-10-01,2013-10-01,24166,24166,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,13.0,,,5.0,4. P,4,1,13,18.0,18.0
426,426,1477,994.5,926,2014-08-01,2013-10-01,24176,24166,,,,,,,,,,188.5,147.0,258.0,60.0,142.0,90.0,50.0,48.0,7.0,,4.0,,,,12.0,3.5,,138.5,316.0,490.5,34.0,4. P,4,3,3,593.5,206.5
427,427,1478,1073.0,547,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,154.0,119.0,86.0,86.0,14.0,76.0,117.0,69.5,36.5,65.0,43.5,75.5,81.0,50.0,,,,692.5,47.5,333.0,,4. P,4,4,0,379.0,230.5
428,428,1483,1111.5,133,2014-01-01,2013-10-01,24169,24166,,,,,,,,,,99.0,,454.5,558.0,,,,,,,,,,,,,,,524.0,555.0,32.5,4. P,4,2,10,965.5,99.0
429,429,1486,1249.0,428,2014-10-01,2013-10-01,24178,24166,,,,,,,,,,60.0,183.0,102.0,109.0,80.5,,84.0,94.0,176.0,138.5,174.0,,48.0,,,,,1077.0,116.5,55.5,,4. P,4,4,1,425.0,201.0
430,430,1487,1681.5,243,2014-02-01,2013-11-01,24170,24167,,,,,,,,,,,591.0,912.0,178.0,0.5,,,,,,,,,,3.0,,,1678.5,,,,3. M,3,2,9,1681.5,978.0
431,431,1489,60.0,5,2013-11-01,2013-10-01,24167,24166,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,60.0,,,,,,,4. P,4,1,12,60.0,60.0
432,432,1494,50.0,18,2014-03-01,2013-10-01,24171,24166,,,,,,,,,,5.5,,2.0,5.0,22.5,15.0,,,,,,,,,19.0,1.5,,19.0,,10.5,,4. P,4,2,8,7.5,5.5
433,433,1495,4387.5,1534,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,402.5,543.0,183.0,,170.5,814.0,565.5,1709.0,,,,2214.0,1169.5,362.5,641.5,3. M,3,4,0,1128.5,603.5
434,434,1496,41.5,14,2013-10-01,2013-10-01,24166,24166,,,,,,,,,,41.5,,,,,,,,,,,,,,,,,41.5,,,,4. P,4,1,13,41.5,41.5
435,435,1497,2526.6,1716,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,73.0,56.5,162.5,379.5,226.1,200.5,228.0,476.0,405.0,97.5,108.0,39.0,16.0,59.0,20.0,153.0,,303.0,29.0,1983.5,38.1,3. M,3,4,0,566.0,105.0
436,436,1498,6333.5,6418,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,86.5,485.5,1058.0,575.5,1181.0,872.5,236.0,448.0,344.0,172.0,371.0,224.5,158.5,120.5,12.0,5.0,,278.5,2338.0,2948.0,752.0,3. M,3,4,0,2129.5,490.0
437,437,1499,3909.9,1394,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,259.5,826.5,421.0,27.0,72.0,322.2,377.0,613.0,130.0,,469.6,299.1,44.0,49.0,14.5,165.5,49.5,412.5,358.5,2525.0,384.4,3. M,3,4,0,1507.0,1063.5
438,438,1502,244.5,122,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,16.0,13.0,,24.0,43.5,3.0,13.0,6.0,34.0,1.0,25.0,21.0,31.0,14.0,30.0,2.0,,203.0,,9.5,,4. P,4,4,0,49.0,29.0
439,439,1507,1469.5,170,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,176.0,314.0,283.0,295.0,100.0,,,,,51.0,70.0,180.5,,,,1428.5,30.0,7.0,4.0,4. P,4,4,0,873.0,216.0
440,440,1510,1331.6,605,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,109.5,99.5,2.0,,,85.5,49.0,65.4,323.9,247.9,25.5,134.3,189.1,,68.0,,133.0,76.5,979.0,75.1,4. P,4,4,0,211.0,209.0
441,441,1511,147.0,39,2013-10-01,2013-10-01,24166,24166,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,41.0,96.0,10.0,,4. P,4,1,13,147.0,147.0
442,442,1512,1051.0,199,2014-11-01,2013-10-01,24179,24166,,,,,,,,,,25.0,119.0,188.5,103.5,185.0,154.5,10.0,7.5,79.5,5.0,87.0,61.0,,25.5,9.0,,,1000.0,19.0,23.0,,4. P,4,4,0,436.0,124.0
443,443,1522,1433.0,179,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,163.5,281.5,98.0,374.0,26.0,,,,,,106.0,160.0,224.0,3.0,,,1193.5,211.0,23.5,2.0,4. P,4,4,0,543.0,216.5
444,444,1530,395.7,232,2014-02-01,2013-11-01,24170,24167,,,,,,,,,,,131.6,44.0,54.0,166.1,,,,,,,,,,,2.0,,53.5,14.0,264.5,61.7,4. P,4,2,9,229.6,131.6
445,445,1533,17.5,11,2013-11-01,2013-11-01,24167,24167,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,5.5,,11.5,0.5,4. P,4,1,12,17.5,17.5
446,446,1534,605.5,362,2014-10-01,2013-11-01,24178,24167,,,,,,,,,,,188.0,303.5,,,,,28.5,,,76.5,,9.0,,20.0,5.0,,296.0,116.5,121.5,46.5,4. P,4,4,1,491.5,188.0
447,447,1535,6669.0,2021,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,840.0,651.0,675.0,433.0,305.0,483.5,368.5,256.0,763.0,469.5,531.0,453.0,440.5,24.0,,,5094.0,1535.0,16.0,,3. M,3,4,0,2166.0,960.0
448,448,1536,11021.5,697,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,618.0,670.5,1836.5,580.5,94.0,1015.5,1948.5,656.5,187.0,850.5,528.0,1318.5,717.5,54.0,,,10839.5,22.0,104.0,2.0,2. G,2,4,0,3125.0,828.0
449,449,1538,555.6,616,2014-10-01,2013-11-01,24178,24167,,,,,,,,,,,150.0,176.5,,,,,,,,,187.5,41.6,,15.5,,,189.0,275.5,27.0,48.6,4. P,4,4,1,326.5,162.0
450,450,1539,487.5,21,2013-11-01,2013-11-01,24167,24167,,,,,,,,,,,487.5,,,,,,,,,,,,,,,,,,487.5,,4. P,4,1,12,487.5,487.5
451,451,1540,1.0,1,2014-05-01,2014-05-01,24173,24173,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,4. P,4,2,6,1.0,1.0
452,452,1543,17087.0,7179,2014-03-01,2013-11-01,24171,24167,,,,,,,,,,,5836.5,7058.0,3581.5,509.5,101.5,,,,,,,,,138.5,,,13459.0,111.5,3327.0,51.0,2. G,2,2,8,16492.5,6555.0
453,453,1544,2323.5,2061,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,108.5,287.5,183.5,168.5,189.0,140.0,125.5,122.0,103.0,211.0,271.5,245.5,168.0,32.0,19.0,,1282.0,974.0,15.5,1.0,3. M,3,4,0,586.5,209.5
454,454,1548,1850.0,18,2014-03-01,2013-11-01,24171,24167,,,,,,,,,,,1000.0,200.0,150.0,,500.0,,,,,,,,,1000.0,,,850.0,,,,3. M,3,2,8,1350.0,1000.0
455,455,1549,193.0,54,2014-10-01,2013-11-01,24178,24167,,,,,,,,,,,77.0,77.0,22.0,8.0,,,,,6.0,,,3.0,,,,,193.0,,,,4. P,4,4,1,176.0,99.0
456,456,1550,159245.0,62,2014-02-01,2013-11-01,24170,24167,,,,,,,,,,,23.0,52100.0,55432.0,51690.0,,,,,,,,,,,,,159242.0,,2.5,0.5,1. TG,1,2,9,116845.0,23.0
457,457,1551,999.0,122,2014-03-01,2013-11-01,24171,24167,,,,,,,,,,,130.5,143.5,203.5,410.5,111.0,,,,,,,,,,,,980.0,3.0,16.0,,4. P,4,2,8,813.0,269.0
458,458,1552,189.5,54,2013-11-01,2013-11-01,24167,24167,,,,,,,,,,,189.5,,,,,,,,,,,,,1.0,,,169.5,2.0,17.0,,4. P,4,1,12,189.5,189.5
459,459,1553,4258.5,1006,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,801.0,1377.0,190.0,301.0,125.0,1107.0,63.5,121.0,2.5,1.0,,166.5,3.0,62.0,,,3524.0,8.0,654.5,10.0,3. M,3,4,0,2559.0,1655.0
460,460,1554,60.0,26,2014-04-01,2013-11-01,24172,24167,,,,,,,,,,,15.0,30.0,,,,15.0,,,,,,,,,,,,,6.0,54.0,4. P,4,2,7,45.0,45.0
461,461,1555,20.0,14,2014-11-01,2014-11-01,24179,24179,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,4.0,5.0,11.0,,4. P,4,4,0,20.0,20.0
462,462,1556,6451.5,1355,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,71.0,295.5,944.0,916.5,657.0,449.5,428.0,378.0,319.0,569.5,561.0,606.0,256.5,,,,1624.5,347.0,4455.5,24.5,3. M,3,4,0,1714.5,138.0
463,463,1557,3251.0,124,2014-02-01,2013-11-01,24170,24167,,,,,,,,,,,253.0,1346.0,1452.0,200.0,,,,,,,,,,,,,3251.0,,,,3. M,3,2,9,3251.0,462.0
464,464,1558,127.5,44,2013-12-01,2013-11-01,24168,24167,,,,,,,,,,,77.0,50.5,,,,,,,,,,,,,,,43.5,69.0,15.0,,4. P,4,2,11,127.5,77.5
465,465,1559,77.5,35,2013-11-01,2013-11-01,24167,24167,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,25.0,,24.0,28.5,4. P,4,1,12,77.5,77.5
466,466,1566,2725.0,608,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,150.5,182.0,314.0,1924.0,1.0,,,,,,53.0,100.5,,,,1969.0,118.5,634.5,3.0,3. M,3,4,0,2201.5,317.5
467,467,1567,3304.5,457,2014-09-01,2013-11-01,24177,24167,,,,,,,,,,,20.0,597.0,1253.0,656.0,363.5,157.0,50.0,30.0,121.0,8.0,49.0,,,,,,1065.0,1958.5,281.0,,3. M,3,3,2,2347.0,180.0
468,468,1569,15441.0,1141,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,1761.0,2175.0,354.0,,,,,,994.0,660.0,460.5,5922.5,3114.0,,13.0,,760.0,13073.0,1024.0,571.0,2. G,2,4,0,4290.0,2876.0
469,469,1571,19.5,26,2014-07-01,2013-11-01,24175,24167,,,,,,,,,,,8.0,1.5,0.5,3.0,,,,,6.5,,,,,8.5,0.5,,9.5,1.0,,,4. P,4,3,4,12.5,9.5
470,470,1573,614.0,44,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,,10.0,50.0,504.0,50.0,,,,,,,,,,,,580.0,,34.0,,4. P,4,2,8,564.0,10.0
471,471,1574,696.0,80,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,,230.0,145.0,178.0,76.0,,,,,45.0,17.0,5.0,,,,694.0,,2.0,,4. P,4,4,0,629.0,375.0
472,472,1577,193.5,188,2013-11-01,2013-11-01,24167,24167,,,,,,,,,,,193.5,,,,,,,,,,,,,,,,156.0,35.0,2.0,0.5,4. P,4,1,12,193.5,193.5
473,473,1578,1290439.0,1383,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,28940.0,493223.0,23969.0,17348.0,66144.0,134726.0,32257.0,29809.0,13088.0,55020.0,82465.0,151838.0,161612.0,784.0,,,1289655.0,,,,1. TG,1,4,0,561730.0,286801.0
474,474,1584,53257.5,5363,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,638.0,3666.0,6381.0,5297.0,2031.5,917.5,8793.0,5684.0,2178.5,5253.0,6614.5,3538.5,2265.0,297.0,267.5,,33640.5,16005.0,2200.0,847.5,1. TG,1,4,0,14969.0,1193.0
475,475,1585,2347.5,743,2014-10-01,2013-11-01,24178,24167,,,,,,,,,,,27.5,235.0,1063.0,487.0,101.5,39.5,,,,23.0,101.5,269.5,,3.0,3.0,,574.0,1099.0,631.0,37.5,3. M,3,4,1,1772.5,262.0
476,476,1588,51.5,30,2014-05-01,2013-11-01,24173,24167,,,,,,,,,,,37.5,,,,,,14.0,,,,,,,,,,30.5,11.0,8.0,2.0,4. P,4,2,6,37.5,37.5
477,477,1589,29810.0,4259,2014-03-01,2013-11-01,24171,24167,,,,,,,,,,,1147.0,6315.5,11903.0,8853.5,1591.0,,,,,,,,,29.0,47.0,3.0,20720.0,7851.5,656.5,503.0,2. G,2,2,8,25654.5,5902.0
478,478,1598,18.0,16,2013-12-01,2013-11-01,24168,24167,,,,,,,,,,,8.0,10.0,,,,,,,,,,,,18.0,,,,,,,4. P,4,2,11,18.0,18.0
479,479,1600,2072.75,768,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,585.0,416.5,337.25,0.5,,,,,,,,55.5,678.0,,,,5.0,137.5,1821.5,108.75,3. M,3,4,0,1338.75,883.0
480,480,1601,90.0,62,2014-03-01,2013-11-01,24171,24167,,,,,,,,,,,20.0,23.0,22.0,19.0,6.0,,,,,,,,,,,,90.0,,,,4. P,4,2,8,79.0,30.0
481,481,1602,1455.0,219,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,165.0,223.0,203.0,130.5,61.0,54.0,29.5,225.0,50.0,90.0,199.0,25.0,78.0,,,1377.0,,,,4. P,4,4,0,591.0,175.0
482,482,1604,20.0,2,2014-11-01,2014-11-01,24179,24179,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,20.0,,,4. P,4,4,0,20.0,20.0
483,483,1606,132.0,128,2014-10-01,2013-11-01,24178,24167,,,,,,,,,,,49.5,75.0,,,,,,,,,3.5,4.0,,9.0,,,112.0,5.0,6.0,,4. P,4,4,1,124.5,124.5
484,484,1608,58.5,31,2013-12-01,2013-11-01,24168,24167,,,,,,,,,,,20.5,38.0,,,,,,,,,,,,,,,21.0,16.5,21.0,,4. P,4,2,11,58.5,58.5
485,485,1612,5437.0,694,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,847.5,,383.5,1737.0,646.0,61.0,3.5,93.0,,415.0,377.5,873.0,,,,917.0,2205.5,1936.5,378.0,3. M,3,4,0,1835.5,847.5
486,486,1614,411.5,309,2014-10-01,2013-12-01,24178,24168,,,,,,,,,,,,61.0,4.5,56.5,194.0,,,,,92.5,,3.0,,,,,403.5,8.0,,,4. P,4,4,1,148.5,61.0
487,487,1615,131908.0,935,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,34786.5,3374.0,3020.5,1603.0,2100.0,3198.0,12917.5,39011.0,4592.0,16025.5,8656.0,2624.0,,,,131903.0,5.0,,,1. TG,1,4,0,41181.0,34786.5
488,488,1616,7638.0,1385,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,893.5,1048.0,1389.0,1851.5,509.0,223.5,34.5,,,383.0,550.5,755.5,,,,1321.0,4807.5,1328.0,181.5,3. M,3,4,0,4187.0,1172.0
489,489,1618,549.6,999,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,352.6,167.0,0.5,,,,,,,,,29.5,35.0,,,420.0,10.5,43.5,40.6,4. P,4,4,0,520.1,352.6
490,490,1619,707.5,561,2014-05-01,2013-12-01,24173,24168,,,,,,,,,,,,76.0,393.5,217.0,1.5,,19.5,,,,,,,,,,108.5,211.0,333.5,54.5,4. P,4,2,6,687.0,76.0
491,491,1621,590.0,50,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,461.0,109.0,20.0,,4. P,4,2,11,590.0,590.0
492,492,1623,75.5,38,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,75.5,,,,,,,,,,,,24.0,,,51.5,,,,4. P,4,2,11,75.5,75.5
493,493,1625,729.4,645,2014-09-01,2014-01-01,24177,24169,,,,,,,,,,,,,169.0,,,,,80.4,189.5,250.5,40.0,,,7.4,1.5,,436.0,217.0,62.0,5.5,4. P,4,3,2,169.0,169.0
494,494,1627,877.5,681,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,64.0,73.0,151.5,93.5,109.5,92.5,23.0,174.0,16.0,58.5,21.0,1.0,,,,211.5,272.5,383.5,10.0,4. P,4,4,0,311.5,64.0
495,495,1628,74.0,45,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,74.0,,,,4. P,4,2,11,74.0,74.0
496,496,1630,1039.2,459,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,,69.0,84.5,112.0,93.5,49.5,55.2,124.5,143.5,149.0,83.5,75.0,,124.7,,33.0,679.0,202.5,,4. P,4,4,0,314.5,91.0
497,497,1631,53.5,24,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,,51.5,2.0,,,,,,,,,,,,,,8.0,1.0,19.0,25.5,4. P,4,2,10,53.5,51.5
498,498,1632,14.0,4,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,4.0,10.0,4. P,4,2,11,14.0,14.0
499,499,1634,37.0,21,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,,24.5,,,12.5,,,,,,,,,,,,,,37.0,,4. P,4,2,8,24.5,24.5
500,500,1636,1138.0,899,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,26.0,,36.0,26.5,72.0,32.0,4.5,30.0,158.0,438.0,224.5,90.5,1.0,,,875.5,212.0,29.5,20.0,4. P,4,4,0,62.0,26.0
501,501,1637,4.5,5,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,4.0,0.5,,,4. P,4,2,11,4.5,4.5
502,502,1639,853.5,403,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,189.5,39.5,45.0,85.0,79.0,102.0,69.0,35.0,38.0,93.5,51.0,27.0,2.0,1.0,,735.0,46.0,68.5,1.0,4. P,4,4,0,307.0,207.5
503,503,1641,203.5,38,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,,48.0,,,,,,49.5,44.0,,26.0,26.5,9.5,,,,95.0,45.5,63.0,,4. P,4,4,0,48.0,48.0
504,504,1642,559.5,65,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,,169.0,390.5,,,,,,,,,,,,,,,13.5,546.0,,4. P,4,2,10,559.5,449.0
