,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
672,672,1889,30.0,29,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,30.0,,,,,,,,2.0,,16.0,7.5,1.0,2.0,1.5,4. P,4,2,10,30.0,30.0
673,673,1890,20.0,7,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,20.0,,,,,,,,,,16.5,0.5,3.0,,,4. P,4,2,10,20.0,20.0
674,674,1891,60.0,33,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,44.0,16.0,,,,,,,32.0,,7.0,,,21.0,,4. P,4,2,9,60.0,60.0
675,675,1892,10.0,11,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,,,,5.0,,5.0,4. P,4,2,10,10.0,10.0
676,676,1893,8.0,7,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,8.0,,,,,,,,,,1.5,0.5,3.5,,2.5,4. P,4,2,10,8.0,8.0
677,677,1894,652.0,19,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,430.0,222.0,,,,,,,,,432.0,,,61.0,159.0,4. P,4,2,9,652.0,652.0
678,678,1895,2.5,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,2.5,,,,,,,,,,2.0,0.5,,,,4. P,4,2,10,2.5,2.5
679,679,1897,10.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,5.0,,,,,5.0,,4. P,4,2,10,10.0,10.0
680,680,1898,111.0,29,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,111.0,,,,,,,,48.0,1.0,27.0,12.0,6.5,0.5,16.0,4. P,4,2,10,111.0,111.0
681,681,1899,28.0,37,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,26.0,2.0,,,,,,,11.0,4.5,8.5,4.0,,,,4. P,4,2,9,28.0,28.0
682,682,1900,2.0,1,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,4. P,4,2,10,2.0,2.0
683,683,1901,179.0,5,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,167.0,12.0,,,,,,,100.0,,24.0,,5.0,50.0,,4. P,4,2,9,179.0,179.0
684,684,1902,56.0,72,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,53.0,3.0,,,,,,,9.0,1.0,39.5,4.0,1.5,,1.0,4. P,4,2,9,56.0,56.0
685,685,1904,10.0,5,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,3.5,,6.0,0.5,,,,4. P,4,2,10,10.0,10.0
686,686,1905,39.5,60,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,39.5,,,,,,,,13.5,2.5,5.5,7.0,10.5,,0.5,4. P,4,2,10,39.5,39.5
687,687,1906,10.0,18,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,1.0,,2.0,1.5,5.5,,,4. P,4,2,10,10.0,10.0
688,688,1907,10.0,4,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,2.0,,7.0,,,1.0,,4. P,4,2,10,10.0,10.0
689,689,1908,63.0,12,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,63.0,,,,,,,,5.0,2.0,24.0,2.0,14.0,4.0,12.0,4. P,4,2,10,63.0,63.0
690,690,1909,987.5,977,2014-07-01,2014-01-01,24175,24169,,,,,,,,,,,,,856.5,,,,131.0,,,,120.0,65.0,85.5,14.5,141.0,154.0,407.5,4. P,4,3,4,856.5,856.5
691,691,1910,20.0,17,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,12.0,8.0,,,,,,,,,5.5,7.0,7.5,,,4. P,4,2,9,20.0,20.0
692,692,1912,1250.0,273,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,1184.5,65.5,,,,,,,16.0,168.5,176.0,422.5,375.0,26.0,66.0,4. P,4,2,9,1250.0,1250.0
693,693,1914,522.0,207,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,521.5,0.5,,,,,,,27.0,7.0,6.0,20.5,287.5,170.0,4.0,4. P,4,2,9,522.0,522.0
694,694,1916,10.0,8,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,2.0,,4.0,,1.0,2.0,1.0,4. P,4,2,10,10.0,10.0
695,695,1918,10.0,5,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,,1.0,,5.0,2.0,2.0,4. P,4,2,10,10.0,10.0
696,696,1919,50.5,77,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,40.0,10.5,,,,,,,8.0,,,,3.0,5.0,34.5,4. P,4,2,9,50.5,50.5
697,697,1920,18.0,8,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,18.0,,,,,,,,3.0,,,,15.0,,,4. P,4,2,10,18.0,18.0
698,698,1922,20.0,23,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,20.0,,,,,,,,2.0,2.0,14.0,1.0,1.0,,,4. P,4,2,10,20.0,20.0
699,699,1924,69.0,31,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,69.0,,,,,,,,23.0,,11.5,1.0,26.0,4.5,3.0,4. P,4,2,10,69.0,69.0
700,700,1925,8.5,9,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,6.0,2.5,,,,,,,3.5,,3.0,,,1.5,0.5,4. P,4,2,9,8.5,8.5
701,701,1926,112.5,79,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,112.5,,,,,,,,,11.5,7.5,11.5,13.0,,69.0,4. P,4,2,10,112.5,112.5
