	ID	IDC	MT_TOT	PMG	RECENCE
218	218	1145	779.0	4. P	4
219	219	1147	24163.0	2. G	15
220	220	1153	37363.2	2. G	4
221	221	1154	3071.5	3. M	9
222	222	1156	728.0	4. P	2
223	223	1157	174.0	4. P	10
224	224	1165	108.0	4. P	10
225	225	1166	16712.5	2. G	4
226	226	1167	91.0	4. P	15
227	227	1169	774.0	4. P	9
228	228	1170	10.0	4. P	17
229	229	1171	972.05	4. P	9
230	230	1172	1949.5	3. M	10
231	231	1174	3584.5	3. M	10
232	232	1175	444.5	4. P	10
233	233	1176	230.5	4. P	12
234	234	1177	1500.5	4. P	2
235	235	1178	1645.0	3. M	11
236	236	1179	1136.0	4. P	12
237	237	1180	50.0	4. P	10
238	238	1181	2404.5	3. M	2
239	239	1182	111.0	4. P	11
240	240	1183	1188.0	4. P	10
241	241	1185	159.0	4. P	10
242	242	1186	414.5	4. P	2
243	243	1187	293.0	4. P	2
244	244	1188	13.0	4. P	13
245	245	1189	81.0	4. P	17
246	246	1190	90.0	4. P	10
247	247	1191	63.5	4. P	14
248	248	1193	484.0	4. P	10
249	249	1194	24857.5	2. G	9
250	250	1202	522.0	4. P	4
251	251	1203	8261.5	3. M	9
252	252	1204	2461.5	3. M	10
253	253	1206	2486.0	3. M	2
254	254	1207	4985.5	3. M	9
255	255	1208	10644.0	3. M	4
256	256	1209	335.25	4. P	16
257	257	1210	7118.75	3. M	13
258	258	1216	35.0	4. P	17
259	259	1217	668.5	4. P	6
260	260	1226	189.5	4. P	10
261	261	1227	59.5	4. P	15
262	262	1237	1547.5	3. M	4
263	263	1238	5747.0	3. M	10
264	264	1239	476.0	4. P	11
265	265	1248	18430.0	2. G	2
266	266	1249	2573.5	3. M	10
267	267	1251	41.5	4. P	10
268	268	1256	100.0	4. P	16
269	269	1258	103.0	4. P	16
270	270	1259	9.0	4. P	10
271	271	1263	115.0	4. P	10
272	272	1266	3230.05	3. M	9
273	273	1267	1555.5	3. M	10
274	274	1268	512.5	4. P	14
275	275	1271	1033.0	4. P	10
276	276	1272	3264.5	3. M	4
277	277	1274	177.0	4. P	10
